Label,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Denmark, incidence",1.8,2.1,1.9,2.1,1.6,1.1,1.4,1.8,1.7,2,1.7,1.4,1.8,2,2.2,1.9,1.9,1.6,1.8,1.9,1.6,1.9,1.7,1.7,1.6,1.6,1.5,1.5,1.8,1.9,1.5,1.7,1.7,1.7,2,1.4,1.3,1.6,1.4,1.7,1.7,1.3,1.2,1,1.4,0.96,1.6,1.2,1.1,1.2,1.3,1.2,1.4,1.5,1.4,1.3,1.1,1.3,1.3,1.7,1.3,1.4,1.5,1.6,1.4,1.6,1.6,1.6,1.4,1.5,2,1.8,2.4,2,2,1.9,1.4,1.9
"Finland, incidence",-,-,-,-,-,-,-,-,-,-,1.1,1.7,1.3,1.5,1.4,1.1,1.7,1.5,1.3,1,1.3,1.3,1.4,1.2,1.2,1.5,1,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.3,1.3,1.1,1.1,0.98,1.2,1.6,1.2,1.2,1.2,1,1.1,1.1,1.3,0.77,0.88,1.1,1.3,1.2,1.2,1.1,1.5,0.96,1.5,1,1.5,1.2,1.2,1.3,1.2,1.1,1.1,1.3,1.1,1.2,1.3,1.7,1.3,1.4,1.3,1.3,1.6,1.6,1.3
"Norway, incidence",-,-,-,-,-,-,-,-,-,-,0.98,1.5,1.1,1.1,1.2,1.4,1.3,1.3,0.98,1.3,0.88,1.2,1.4,1.2,1,1.4,1.4,1.4,1.2,1.3,1.1,1.5,1.1,1.5,0.94,1.3,1.3,1.2,1.3,1.3,1.2,1.2,1.5,1.3,1.1,1.2,1.3,1.2,1.3,1.1,1.7,1.3,1.6,1.2,1.4,1.8,1.3,1,1.6,1,1.5,1.3,1.8,1.8,1.6,1.3,1.7,1.6,1.6,1.7,1.2,1.6,1.6,1.9,1.7,1.6,1.5,1.5
"Sweden, incidence",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.8,1.7,1.6,1.6,1.8,1.6,1.4,1.3,1.7,1.6,1.5,1.5,1.3,1.6,1.4,1.2,0.92,1.6,1.4,1.5,1.4,1.5,1.4,1.4,1.5,1.5,1.4,1.3,1.3,1.2,1.3,1.5,1.3,1.4,1.3,1.4,1.6,1.3,1.6,1.5,1.6,1.6,1.2,1.3,1.4,1.4,1.5,1.6,1.4,1.2,1.3,1.4,1.3,1.6,1.9,1.5,1.6,1.7,1.6,1.6,1.3
"Denmark, mortality",-,-,-,-,-,-,-,-,1.4,1.6,1.3,0.96,1.5,1.6,1.1,1.5,1.4,1.2,0.93,0.65,1.1,0.59,0.65,0.44,0.4,0.66,0.62,0.6,0.46,0.51,0.79,0.42,0.2,0.41,0.42,0.47,0.63,0.36,0.64,0.63,0.37,0.63,0.53,0.19,0.37,0.33,0.55,0.37,0.41,0.28,0.42,0.39,0.39,0.44,0.53,0.35,0.23,0.35,0.41,0.43,0.4,0.56,0.31,0.48,0.33,0.24,0.32,0.46,0.4,0.31,0.41,0.4,0.33,0.4,0.26,0.41,0.3,0.4
"Finland, mortality",-,-,-,-,-,-,-,-,-,-,0.61,0.92,0.87,1.1,1.2,0.72,0.94,0.8,0.63,0.69,0.81,1,0.65,0.67,0.65,0.63,0.55,0.62,0.66,0.67,0.84,0.44,0.65,0.55,0.42,0.69,0.65,0.48,0.35,0.56,0.47,0.6,0.41,0.37,0.65,0.51,0.44,0.38,0.56,0.45,0.3,0.46,0.32,0.43,0.43,0.46,0.38,0.36,0.42,0.5,0.39,0.36,0.32,0.39,0.36,0.33,0.33,0.31,0.36,0.42,0.48,0.32,0.39,0.37,0.51,0.43,0.37,0.34
"Norway, mortality",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,0.35,0.36,0.27,0.42,0.44,0.42,0.44,0.36,0.35,0.42,0.3,0.25,0.39,0.22,0.22,0.52,0.41,0.4,0.35,0.36,0.41,0.32,0.33,0.32
"Sweden, mortality",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.49,0.48,0.41,0.42,0.39,0.32,0.3,0.43,0.43,0.44,0.33,0.34,0.36,0.33,0.39,0.36,0.33,0.29,0.36,0.41,0.35,0.47,0.32
