Breast;Denmark;Finland;Norway;Sweden
1971-1975;45.6[43.3-48.0];54.0[50.5-57.7];56.9[53.9-59.9];55.7[54.1-57.4]
1976-1980;48.2[46.1-50.3];54.1[51.4-57.0];60.8[58.1-63.7];59.5[57.8-61.1]
1981-1985;53.8[51.8-55.8];59.8[57.4-62.4];62.9[60.6-65.3];65.7[64.2-67.3]
1986-1990;58.7[56.7-60.7];61.8[59.5-64.2];61.8[59.6-64.0];68.9[67.4-70.5]
1991-1995;62.9[60.9-64.9];66.8[64.6-69.0];67.4[65.3-69.6];72.2[70.7-73.7]
1996-2000;64.4[62.5-66.4];70.7[68.6-72.8];72.5[70.5-74.5];78.5[77.0-79.9]
2001-2005;70.8[68.9-72.7];76.0[74.2-77.9];77.0[75.1-78.9];81.1[79.7-82.5]
2006-2010;74.1[72.3-75.9];78.3[76.5-80.0];77.0[75.2-78.9];83.3[82.0-84.7]
2011-2015;78.5[76.8-80.1];78.8[77.2-80.5];80.1[78.3-82.0];86.6[85.3-88.0]
2016-2020;81.6[80.0-83.2];81.2[79.6-82.8];85.3[83.6-87.0];88.4[87.1-89.7]
