Breast;Denmark;Finland;Norway;Sweden
1971-1975;84.4[82.4-86.4];83.6[80.9-86.4];84.1[81.3-87.1];85.3[83.8-86.8]
1976-1980;85.0[83.3-86.8];83.0[80.8-85.2];86.5[84.4-88.7];88.1[86.9-89.3]
1981-1985;86.2[84.7-87.8];87.5[85.8-89.3];87.7[85.8-89.7];89.4[88.3-90.6]
1986-1990;88.3[86.9-89.8];87.2[85.7-88.9];86.5[84.7-88.3];91.1[90.1-92.1]
1991-1995;89.9[88.6-91.2];90.7[89.4-92.1];88.6[87.1-90.2];92.6[91.7-93.4]
1996-2000;91.3[90.0-92.6];91.8[90.7-93.0];91.4[90.1-92.7];94.0[93.2-94.7]
2001-2005;91.2[90.0-92.4];92.2[91.2-93.2];92.4[91.4-93.5];94.7[94.1-95.4]
2006-2010;92.1[91.0-93.2];93.6[92.7-94.5];93.2[92.2-94.2];94.6[94.0-95.2]
2011-2015;94.0[93.1-94.9];93.2[92.3-94.1];94.0[93.0-94.9];95.2[94.6-95.8]
2016-2020;93.5[92.6-94.4];92.8[91.9-93.6];94.8[94.0-95.6];95.0[94.4-95.6]
