vulva_5y,Denmark,Finland,Norway,Sweden
1971-1975,71.0[64.9-77.7],45.4[38.5-53.5],64.4[56.7-73.2],59.6[54.5-65.1]
1976-1980,60.6[54.9-66.8]*,52.0[45.3-59.7],64.2[57.4-71.9],62.4[57.7-67.6]
1981-1985,71.3[65.3-77.9],56.4[50.0-63.6],63.3[56.5-71.0],59.6[55.1-64.4]
1986-1990,67.1[60.8-74.0],59.2[52.0-67.4],61.8[54.9-69.5],62.2[57.5-67.2]
1991-1995,68.1[61.7-75.1],64.5[57.9-71.8],66.2[59.7-73.3],64.6[60.2-69.3]
1996-2000,69.8[63.8-76.4],65.0[59.0-71.7],61.1[53.5-69.9]*,62.2[58.0-66.7]*
2001-2005,67.1[61.2-73.7],68.5[62.9-74.6],70.3[64.4-76.7],68.2[64.1-72.5]
2006-2010,70.2[65.0-75.9],67.9[62.6-73.7],67.8[62.1-74.0],67.1[63.2-71.2]*
2011-2015,69.3[64.5-74.5],71.3[66.6-76.4],67.9[62.2-74.2],74.9[71.4-78.5]
2016-2020,72.0[67.5-76.7],70.6[65.8-75.7],71.5[66.5-77.0],72.9[69.6-76.3]
