Breast;Denmark;Finland;Norway;Sweden
1971-1975;59.0[57.0-61.1];61.7[58.7-64.9];65.9[63.1-68.8];61.4[59.4-63.4]
1976-1980;60.1[58.1-62.2];59.9[56.7-63.3];64.8[62.3-67.5];61.1[59.1-63.3]
1981-1985;59.4[57.4-61.6];61.4[58.0-65.0];65.4[62.8-68.2];63.9[61.8-66.0]
1986-1990;62.3[60.2-64.5];56.5[52.7-60.6];62.3[59.6-65.1];64.8[62.6-67.0]
1991-1995;64.7[62.5-67.1];64.3[60.6-68.3];67.1[64.4-69.9];65.4[63.3-67.7]
1996-2000;64.1[61.6-66.7];67.8[64.1-71.7];67.1[64.2-70.1];64.8[62.5-67.3]
2001-2005;64.3[61.7-67.1];65.8[61.9-70.1];71.4[68.5-74.4];67.2[64.9-69.6]
2006-2010;67.9[65.2-70.7];65.3[61.1-69.7];71.4[68.4-74.5];69.0[66.7-71.3]
2011-2015;71.6[69.0-74.3];67.1[63.3-71.1];73.0[70.0-76.2];69.5[67.2-71.8]
2016-2020;75.4[72.9-78.0];69.7[66.1-73.6];75.6[72.8-78.6];74.5[72.3-76.6]
